id_filosofo,id_pensamiento,tiempo
0,0,1.0716650485992432
9,0,1.0284147262573242
1,0,1.0414164066314697
2,0,1.0414164066314697
3,0,1.0414164066314697
4,0,1.0414164066314697
5,0,1.0414164066314697
6,0,1.0414164066314697
7,0,1.0414164066314697
8,0,1.0414164066314697
0,0,1.002166986465454
2,0,1.0111610889434814
4,0,1.0021629333496094
8,0,1.0021593570709229
6,0,1.001161813735962
5,0,1.011775255203247
9,0,1.014777421951294
1,0,1.0157787799835205
3,0,1.0157787799835205
7,0,1.0027735233306885
